time_s,cum_MJ/m2,cum_klux_hr,dE76,dE76,dE00,dE00,dR,dR,dR_VIS,dR_VIS,L*,L*,a*,a*,b*,b*,C*,C*,h,h
value,value,value,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.413,1.006,-1.767,0.626,-39.223,0.413,39.267,0.394,267.417,0.93
17.857,0.5,37.519,0.204,0.033,0.156,0.036,1.306,0.337,0.178,0.018,44.336,0.996,-1.596,0.617,-39.157,0.404,39.193,0.386,267.661,0.917
35.714,1.0,75.038,0.301,0.039,0.223,0.043,1.879,0.541,0.26,0.023,44.321,0.99,-1.541,0.615,-39.071,0.399,39.106,0.383,267.733,0.921
53.571,1.5,112.556,0.369,0.034,0.257,0.041,2.178,0.956,0.31,0.024,44.323,0.994,-1.527,0.63,-38.981,0.403,39.017,0.386,267.746,0.94
71.429,2.0,150.075,0.418,0.039,0.274,0.041,1.499,0.626,0.349,0.025,44.333,0.994,-1.529,0.637,-38.909,0.41,38.943,0.393,267.741,0.954
89.286,2.5,187.594,0.474,0.047,0.296,0.041,1.39,0.453,0.373,0.028,44.346,0.994,-1.536,0.641,-38.84,0.405,38.876,0.385,267.73,0.961
107.143,3.0,225.113,0.527,0.055,0.305,0.036,1.873,0.676,0.394,0.025,44.372,0.996,-1.548,0.648,-38.768,0.406,38.805,0.393,267.707,0.975
125.0,3.5,262.631,0.587,0.069,0.32,0.03,2.366,0.646,0.421,0.027,44.388,0.998,-1.562,0.653,-38.694,0.407,38.733,0.388,267.681,0.982
142.857,4.0,300.15,0.646,0.085,0.334,0.025,2.343,0.272,0.437,0.027,44.405,0.998,-1.579,0.654,-38.625,0.407,38.664,0.387,267.651,0.988
160.714,4.5,337.669,0.701,0.094,0.342,0.016,2.069,0.176,0.458,0.026,44.425,0.995,-1.595,0.656,-38.561,0.405,38.599,0.385,267.619,0.993
178.571,5.0,375.188,0.75,0.088,0.352,0.012,1.687,0.471,0.478,0.032,44.445,0.992,-1.612,0.651,-38.504,0.404,38.541,0.383,267.592,0.987
196.429,5.5,412.706,0.808,0.088,0.365,0.005,1.994,0.323,0.488,0.026,44.468,0.992,-1.632,0.649,-38.445,0.41,38.485,0.385,267.56,0.985
214.286,6.0,450.225,0.866,0.097,0.378,0.006,2.211,0.126,0.499,0.027,44.489,0.997,-1.653,0.649,-38.382,0.408,38.421,0.389,267.527,0.986
232.143,6.5,487.744,0.914,0.101,0.386,0.01,1.907,0.599,0.513,0.028,44.508,0.997,-1.666,0.651,-38.333,0.415,38.373,0.394,267.5,0.992
250.0,7.0,525.263,0.962,0.108,0.398,0.013,2.103,0.833,0.53,0.033,44.524,1.0,-1.684,0.655,-38.281,0.422,38.327,0.401,267.474,1.002
267.857,7.5,562.781,1.008,0.111,0.411,0.018,1.858,0.343,0.545,0.029,44.539,1.001,-1.69,0.662,-38.238,0.424,38.282,0.401,267.458,1.01
285.714,8.0,600.3,1.058,0.127,0.423,0.019,1.608,0.53,0.554,0.031,44.554,1.004,-1.707,0.668,-38.188,0.431,38.235,0.409,267.432,1.021
303.571,8.5,637.819,1.1,0.128,0.43,0.025,1.308,0.194,0.563,0.03,44.573,1.007,-1.72,0.669,-38.145,0.441,38.191,0.419,267.408,1.021
321.429,9.0,675.338,1.149,0.132,0.444,0.028,1.548,0.165,0.578,0.033,44.589,1.004,-1.736,0.669,-38.101,0.445,38.146,0.421,267.381,1.024
339.286,9.5,712.856,1.2,0.137,0.458,0.031,1.952,0.088,0.59,0.028,44.605,1.002,-1.752,0.667,-38.05,0.447,38.097,0.425,267.358,1.028
357.143,10.0,750.375,1.249,0.145,0.474,0.037,2.092,0.338,0.599,0.029,44.626,1.007,-1.767,0.67,-38.004,0.453,38.048,0.428,267.331,1.032
